产品名称,CPU,CPU型号,CPU主频,最高睿频,操作系统,屏幕尺寸,物理分辨率,屏幕类型,内存容量,内存类型,内存频率,硬盘类型,硬盘容量,显卡类型,显示芯片,显存容量,显存类型,光驱类型,USB3.0,USB2.0,视频接口,音频接口,读卡器,type-c 接口,无线网卡,摄像头,键盘描述,尺寸,预装软件,图片列表,电池,重量,蓝牙,电源适配器,颜色,核心数,显示比例,RJ45(以太网口),杜比音效,扬声器,麦克风,指取设备,型号,USB3.1,其他接口,JBL音响,接口类型,硬盘转速,三级缓存,ThunderBolt 3.0,有线网卡,指纹识别,保修政策,质保时间,质保备注,内存插槽数量,外壳材质A面,摄像头像素,触控屏,增值服务,续航时间,外壳材质D面,内存最大支持容量
小新 潮7000 13.3英寸轻薄笔记本 花火银 81BS000DCD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,13.3英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,2400Mhz,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,1个,1个,HDMI,耳机、麦克风二合一接口,有,有,有,720p HD 摄像头,背光键盘,307.4x211x16.9mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/06/05/3FdoDT9BRw0zeJKzVVjUo18IP-9690.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/08/21/6LPIqG2BEte1hfUUvlRBP3uLt-9085.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/08/21/UlCLHQiq04zDv5Ni1rjgHnCaf-8390.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/08/21/bkxPWwa5g5kjUEshe6WWuOHW5-8754.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/08/21/88hG0AIzneDGFOS2QA0Lu7y4X-8387.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/08/21/KH6SRQC4oL2pAVEZ4hvjT266t-8330.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/08/21/P0yYgzx8CMe4bcKHaknHeMwsS-2702.w84.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 13.3英寸轻薄笔记本 火花金 81BS000CCD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,13.3英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,2400Mhz,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,1个,1个,HDMI,耳机、麦克风二合一接口,有,有,有,720p HD 摄像头,背光键盘,307.4x211x16.9mm,正版office家庭和学生版2016,"['//p2.lefile.cn/product/adminweb/2017/08/21/8Kd7BhNeNhnaMEHUn8pCYAvVo-8850.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/08/21/E3eiztl3QhHMNm2hXJRi0YOdv-8898.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/08/21/r7ld8mMqF1jN5UnevtneoWoEI-8896.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/08/21/ElgLza5ZD8KcWgj1OH93OEhfk-9276.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/08/22/4zjcGcoQJw6YPX0vds4Syuj9a-3821.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/08/21/6EAESLyiapBcjJdjJ6ugSogkk-9308.w84.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 13.3英寸轻薄笔记本 花火银81BS000ECD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,13.3英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,2400Mhz,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,1个,1个,HDMI,耳机、麦克风二合一接口,有,有,有,720p HD 摄像头,背光键盘,307.4x211x16.9mm,正版office家庭和学生版2016,"['//p3.lefile.cn/product/adminweb/2017/08/21/9F7pGds6lEGR7ZWnW2jVEVzEW-7483.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/08/21/i0o0AhIkDDyveYX7Y0sJxh0cG-8178.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/08/21/H8Y7Orjtm9nSIrmPu1yoOGkZG-8154.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/08/21/itOkuKuD7RhAN9qI4z0fv8dGz-7570.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/08/21/muU2GlNrKOKXLjYiNov434FDc-7533.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/08/22/vzwyACIfSLFIKyceK60Z2CdVT-0647.w84.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 13.3英寸轻薄笔记本 火花金 81BS000FCD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,13.3英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,2400Mhz,SSD固态硬盘,256GB,独立显卡,NVIDIA GeForce MX150,2GB,GDDR5,无光驱,1个,1个,HDMI,耳机、麦克风二合一接口,有,有,有,720p HD 摄像头,背光键盘,307.4x211x16.9mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2017/08/21/NMPFoiPFWPdPP0LzmJiMsvjhA-5237.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/08/21/sZe4a61lfVU81Jn7IQ5cS7uP0-5789.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/08/21/uSn1foo0cKeS7Hjgs7VdR2ft9-5734.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/08/21/x98VPmTOUeLIcKMXQR46oxP2A-5374.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/08/21/r5Sspm4MU5clqIlHPEdzvXz7c-5357.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/08/21/6G01LDUOwWl9FnQytdbq5jbiB-4892.w84.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 14.0英寸轻薄笔记本 火花金 81BM0003CD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,,机械硬盘+固态硬盘,1TB+128GB SSD,独立显卡, NVIDIA GeForce 940MX,2GB,GDDR5,无光驱,1个,1个,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,有,720p HD 摄像头,背光键盘,,正版office家庭和学生版2016,"['//p3.lefile.cn/product/adminweb/2017/05/12/7nxCnXVXPJznJt3eeSSjlHJRK-3191.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/03/22/NHMsnTRdgrZOHHQycMqJTzaQ8-8082.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/05/12/wPyzpdz2g9z80viPiEVruC7qt-3246.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/05/12/44CnCdlV4t0x2yjGS7yWVQsb4-3614.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/05/12/TtG4hePnLr2vgzk37udKNg2Dg-3616.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/04/14/nQ7t5WaUpC8eUGWfKdTP5GYa1-6548.w84.jpg']",52.5Wh,1.69Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 14.0英寸轻薄笔记本 极光银 81GA000GCD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,机械硬盘+固态硬盘,2T+128G SSD,独立显卡,AMD Radeon™  535,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,,厚度18.9mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/06/05/LMhgq6YfB6hCvUmLkYC9X070h-1056.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/07/CRJvp5jMlzoNnS5gdEG09Xeyz-8554.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/07/F9EgauYfAPeuqwR74X0ckZjGM-8098.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/07/lycA5z5VeYvsiDspVhGPHZVkd-8563.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/07/gfeg6Lwyojm4KW6AtldptBflk-8098.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/07/2j6Lu50k6XbKgvBZ0ECSC5hyF-8110.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/07/0mRVzuQbbhvfKLsIZM40TfMN7-9271.w84.jpg']",52.5Wh,1.67Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 14.0英寸轻薄笔记本 极光银 81GA000LCD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,机械硬盘+固态硬盘,2T+128G SSD,独立显卡,AMD Radeon™  535,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,,厚度18.9mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/04/07/2j6Lu50k6XbKgvBZ0ECSC5hyF-8110.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/07/F9EgauYfAPeuqwR74X0ckZjGM-8098.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/07/CRJvp5jMlzoNnS5gdEG09Xeyz-8554.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/07/lycA5z5VeYvsiDspVhGPHZVkd-8563.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/07/gfeg6Lwyojm4KW6AtldptBflk-8098.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/07/0mRVzuQbbhvfKLsIZM40TfMN7-9271.w84.jpg']",52.5Wh,1.67Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 15.6英寸轻薄笔记本 极光银 81GB000LCD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,机械硬盘+固态硬盘,2T+128G SSD,独立显卡,AMD Radeon™  535,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,,厚度19.4mm,正版office家庭和学生版2016,"['//p3.lefile.cn/product/adminweb/2018/04/07/Sqniq9rdJhQLia6cpmD1ZUk4i-7902.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/07/vkkiE0pdEyozCq0Xm2jnh0NCj-7922.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/07/Qoejty3T70pdKuP0tnx0iTfPY-7442.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/07/00O6Ugc0Xg73lslBGU0CFYtyO-7516.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/08/C7cY4YrQOT8CVwqS40fAsYUyq-8257.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/07/O14HX4pbwTgFyDkDRdtpO29HY-7341.w84.jpg']",52.5Wh,1.89Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 15.6英寸轻薄笔记本 极光银 81GB000JCD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,15.6英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,机械硬盘,2TB,独立显卡,AMD Radeon™  535,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,,厚度19.4mm,正版office家庭和学生版2016,"['//p2.lefile.cn/product/adminweb/2018/04/08/S2kymOSySNcc9L3tfEDuUuikL-2759.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/08/o4LDlbd9SZs55Y1drzu4Dyjg4-3201.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/08/ocpBhYZbFsujMBaGVYX6XZTGY-3208.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/08/w6wJ18DrxPEkCbEPYYvvBRDHu-2869.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/08/5FKAn4kZLuwyIVGlNDiM5Qo4g-0216.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/08/8oLjIcLTPMHbumjfNvR1qYlZ1-2855.w84.jpg']",52.5Wh,1.89Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小新 潮7000 14.0英寸轻薄笔记本 极光银 81GA0009CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,三边窄全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,AMD Radeon™  535,2GB,GDDR5,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,有,1*1 AC无线局域网卡,720p HD 摄像头,,厚度18.9mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/04/07/gfeg6Lwyojm4KW6AtldptBflk-8098.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/07/F9EgauYfAPeuqwR74X0ckZjGM-8098.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/07/2j6Lu50k6XbKgvBZ0ECSC5hyF-8110.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/07/CRJvp5jMlzoNnS5gdEG09Xeyz-8554.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/07/lycA5z5VeYvsiDspVhGPHZVkd-8563.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/07/0mRVzuQbbhvfKLsIZM40TfMN7-9271.w84.jpg']",52.5Wh,1.67Kg,有,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
