产品ID,产品型号 ,屏幕尺寸(对角),屏幕宽高比,面板类型,点距（H×V）mm,画面尺寸（H×V）mm,亮度(典型值),动态对比度(典型值),对比度(典型值),响应时间(典型值),可视角度(水平/垂直),分辨率,扫描频率,显示颜色,HDCP功能,接口,喇叭,额定电源,消耗功率,认证,外壳颜色,壁挂,支架,显示器(含支架/底座)（W×H×D）mm,显示器(不含支架/底座)（W×H×D）mm,包装箱（W×H×D）mm,净重(含支架/底座),净重(不含支架/底座),毛重(含包装),包装清单,图片列表,Size 尺寸,Chipset 方案,拼接缝隙,光源,亮度,对比度,反应时间,像素点距,可视角度,寿命,色饱和度 ,可视面积,色彩度 ,电压,最大功率,待机功率 ,工作温度,储藏温度,储藏湿度,工作湿度,显示模式,最长使用时间(小时/天),HDMI 输入接口 ,DVI 输入接口,VGA 输入接口,PC_AUDIO 输入接口,Y PB PR 输入接口,S-VIDEO 输入接口,VIDEO 输入接口,AUDIO 输入接口,USB 输入接口,VIDEO 输出接口,AUDIO 输出接口,RS232,净重,毛重,裸机外形尺寸 (W x D x H),包装尺寸 (W x D x H),外壳材料,面框宽度 (T/B/L/R) ,孔位,OSD,遥控器,电源线 ,RS232 信号连接线,合格证,说明书,保修卡,功能,尺寸,系统版本,处理器,RAM 内部缓存容量,解码分辨率,面板,触摸式屏幕,钢化玻璃,玻璃透光率,插值分辨率,可触精密度,输出,可触直径,多点触控操作系统,单点触控操作系统,视频格式,图片格式,菜单语言,面板型号,最大分辨率,屏亮度,色彩度,可视角,色饱和度,储存温度,储存湿度,待机功率,内部喇叭,HDMI-IN,HDMI  OPS(option),DVI IN,VGA-IN,PC-AUDID IN,YPBPR,LAN,AV-IN,AV-OUT,COAXIAL,EARPHONE,SPDIF,TV,MEDIA-USB,PC-USB,TOUCH-USB,RS232-IN,RS232 OUT,外壳材料（面框/后壳）,外壳颜色（面框/后壳）,裸机外形尺寸(W*D*H),包装尺寸(W*D*H),面框宽度(T/B/L/R),VESA 孔位,电源线,触摸笔,连接线,挂墙件,书写软件 ,AG 防眩光玻璃,Miracast 无线传屏（选配）,可移动支架（选配）,发射器（选配）
2,LV343HQPX,"34""W",21:9,IPS技术,0.312(H)mmx0.310(V)mm,799.8(H)mmx334.8(V)mm ,300 cd/m²  ,50000000:1,1000:1,5ms GtG,178°/178°(CR≥10),2560x1080,"水平: 
30k - 99kHz 
垂直: 
50 - 76Hz",16.7M,有,"D-Sub,DVI-D(双通道),HDMI(MHL),DP,音频输入,音频输出",3Wx2,"100-240VAC, 50/60Hz , 1.5A","正常工作:58W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，Win 8, CE，EPA",黑色/银色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 90°
高度调整: 180mm
左右旋转: +/-180°",827.7(W)x(446~626)(H)x229(D)mm,827.7(W)x372.7(H)x58.2(D)mm,953(W)x517(H)x280(D)mm,9.48kg,5.88kg,12.88kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI线
音频线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LV253WQP,"25""W",16:9,IPS技术,0.216(H)mmx0.216(V)mm,552.96(H)mmx311.04(V)mm ,350 cd/m²  ,50000000:1,1000:1,5ms GtG,178°/178°(CR≥10),2560x1440,"水平: 
30k - 83kHz (D-Sub)   
30k - 99kHz (DVI-D(双通道),HDMI,DP)    
垂直: 
50 - 76Hz",16.7M,有,"D-Sub,DVI-D(双通道),HDMI,DP, 音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:42W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，CECP, Win 8,   CE, FCC",黑色/银色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",570.4(W)x411.5(H)x138.3(D)mm,570.4(W)x341.8(H)x52.6(D)mm,654(W)x490(H)x187(D)mm,5.6kg,3.6kg,7.42kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
工厂校准报告
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LV243XQP,"23.8""W",16:9,IPS技术,0.20535(H)X0.20535(V)mm,525.696(H)X295.704(V)mm,300 cd/m²  ,50000000:1,1000:1,5ms GtG,178°/178°(CR≥10),2560x1440,"水平: 
30k - 99kHz 
垂直: 
50 - 76Hz (D-SUB, DVI-D(双通道), HDMI,DP)
23 - 76Hz (MHL)",16.7M,有,"D-Sub,DVI-D(双通道),HDMI(MHL),DP, 音频输入,音频输出",3Wx2,"100-240VAC, 50/60Hz , 1.5A","正常工作:37W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，Win 10, cTUVus, FCC,CE",黑色/银色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",542.7(W)x420.8(H)x164(D)mm,542.7(W)x325.0(H)x47(D),627(W)x511(H)x165(D)mm,5.14kg,3.55kg,6.88kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
工厂校准报告
电源线
HDMI信号线
音频线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,LV323HQPX,"32""W",16:9,VA技术,0.2767(H)mmx0.2767(V)mm,708.48(H)mmx398.52(V)mm ,300 cd/m²  ,50000000:1,3000:1,4ms GtG,178°/178°(CR≥10),2560x1440,"水平: 
30k - 83kHz (D-Sub)   
30k - 99kHz (DVI-D(双通道),HDMI/MHL,DP)    
垂直: 
50 - 76Hz",10.7亿,有,"D-Sub,DVI-D(双通道),HDMI(MHL),DP, USB3.0×2, USB 2.0×2,音频输入,音频输出",3Wx2,"100-240VAC, 50/60Hz , 1.5A","正常工作:70W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，CECP, Win 8,EPA",黑色/银色,VESA 100mm×100mm,"倾斜: -5°-22°
垂直旋转: 90°
高度调整: 165mm
左右旋转: +/-160°",741.8(W)x(494.6~659.6)(H)x229(D)mm,741.8(W)x438.4(H)x60.8(D)mm,858(W)x577(H)x248(D)mm,11.54kg,7.95kg,15.34kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
工厂校准报告
电源线
HDMI信号线
音频线
USB(上行)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LV323WUPX,"31.5""W",16:9,VA技术,0.181(H)mmx0.181(V)mm,698.4(H)mmx392.85(V)mm ,300 cd/m²  ,50000000:1,3000:1,4ms GtG,178°/178°(CR≥10),3840x2160,"水平: 
30k - 99kHz (D-Sub, DVI-D(双通道), MHL, HDMI 1.4b)
30k - 160kHz (DP, HDMI 2.0)
垂直: 
23 - 80Hz",10.7亿,有,"D-Sub,DVI-D(双通道),HDMI2.0(MHL),DP,USB3.0×2, USB 2.0×2, 音频输入,音频输出",3Wx2,"100-240VAC, 50/60Hz , 1.5A","正常工作:50W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，Win 10, EPA，cTUVus, FCC,CE",黑色/银色,VESA 100mm×100mm,"倾斜: -5°-22°
垂直旋转: 90°
高度调整: 165mm
左右旋转: +/-160°",741.8(W)x(495.2~660.2)(H)x229.1(D)mm,741.8(W)x438.4(H)x60.8(D)mm,858(W)x577(H)x248(D)mm,9.95kg,6.35kg,13.6kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
工厂校准报告
电源线
HDMI信号线
音频线
USB(上行)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LV273HUPX,"27""W",16:9,IPS技术,0.1554(H)X0.1554(V)mm,596.74(H)X335.66(V)mm,350 cd/m²  ,50000000:1,1300:1,5ms GtG,178°/178°(CR≥10),3840x2160,"水平: 
30k - 99kHz (D-SUB, DVI-D(双通道), HDMI1.4b, MHL)
30k - 160kHz (HDMI2.0, DP)
垂直: 
23 - 80Hz ",10.7亿,有,"D-Sub,DVI-D(双通道),HDMI2.0(MHL), DP, USB3.0×2, USB 2.0×2, 音频输入,音频输出",3Wx2,"100-240VAC, 50/60Hz , 1.5A","正常工作:47W（典型值）;
待机:<1W","CCC，CH RoHS，CEL，Win 10, cTUVus, FCC,CE,EPA",黑色/银色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 90°
高度调整: 130mm
左右旋转: +/-180°",614.9(W)x(401.2~531.2)(H)x194.3(D)mm,614.9(W)x366(H)x43.5(D)mm,715(W)x480(H)x224(D)mm,7.3kg,5.1kg,9.7kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
工厂校准报告
电源线
HDMI信号线
音频线
USB(上行)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LV273HQPX,"27""W",16:9,IPS技术,0.2331(H)X0.2331(V)mm,596.74(H)X335.66(V)mm,350 cd/m²  ,50000000:1,1000:1,5ms GtG,178°/178°(CR≥10),2560x1440,"水平: 
30k - 99kHz 
垂直: 
50 - 76Hz (D-SUB, DVI-D(双通道), HDMI,DP)
23 - 76Hz (MHL)",16.7M,有,"D-Sub,DVI-D(双通道),HDMI(MHL) ,DP, USB3.0×2, USB2.0×2, 音频输入,音频输出",3Wx2,"100-240VAC, 50/60Hz , 1.5A","正常工作:38W（典型值）;
待机:<1W","CCC，CH RoHS，CEL，Win 10,  cTUVus, FCC,CE,EPA",黑色/银色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 90°
高度调整: 130mm
左右旋转: +/-180°",614.9(W)x(401.2~531.2)(H)x194.3(D)mm,614.9(W)x366(H)x43.5(D)mm,715(W)x480(H)x224(D)mm,7.3kg,5.1kg,9.7kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
工厂校准报告
电源线
HDMI信号线
音频线
USB(上行)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,I2475SXHE,"23.8""W",16:9,IPS技术,0.2745(H)mmx0.2745(V)mm,527.04(H)mmx296.46(V)mm ,250 cd/m²  ,20000000:1,1000:1,6ms GtG(bw),178°/178°(CR≥10),1920x1080,"水平: 30k - 83kHz
垂直: 50 - 76Hz",16.7M,有,"D-Sub,HDMI,音频输出",无,"100-240VAC, 50/60Hz, 1.5A","正常工作:25W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，CECP, Win10",黑色,VESA 100mm×100mm,"倾斜: -5°-20°
垂直旋转: 无
高度调整: 无
左右旋转: 无",554.4(W)x423.7(H)x193.5(D)mm,554.4(W)x340(H)x57.1(D)mm,624(W)x420(H)x120(D)mm,3.4kg,3.15kg,4.6kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,E1670SWUE,"15.6""W",16:9,TN,0.252×0.252 mm,344.23× 193.54mm,220 cd/m²  ,20000000:1,500:1,12ms,90°/60°(CR≥10),1366x768,"水平: 30k - 60kHz
垂直: 57 - 63Hz",262144,无,D-Sub     ,无,"5Vdc, 2A","正常工作:7W（典型值）;
待机:<0.5W","CCC, CH RoHS, CEL, Win10, CECP",黑色,VESA 75mm×75mm,"倾斜: -5°-15°
垂直旋转: 无
高度调整: 无
左右旋转: 无",375.7(W)x301.4(H)x142.2(D)mm,375.7(W)x238.7(H)x35.9(D)mm,433(W)x317(H)x118(D)mm,1.21kg, 0.95kg,1.89kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源适配器
D-SUB信号线
USB(电源)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E719SD/BK,"17""",5:4,TN,0.264(H)mmx0.264(V)mm,337.92(H)mm×270.336(V)mm,250 cd/m²  ,20000000:1,1000:1,5ms,170°/160°(CR≥10),1280x1024,"水平: 30k - 83kHz                      
垂直: 50 - 76Hz",16.7M,有,"D-Sub,DVI-D",无,"100-240VAC, 50/60Hz, 1.5A","正常工作:12W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，CECP, TCO,CE, FCC, EPA, Win10",黑色,VESA 100mm×100mm,"倾斜: -5°~ 20°
垂直旋转: 无
高度调整: 无
左右旋转: 无",371.6(W)x382.6(H)x190(D) mm,371.6(W)x323(H)x58.9(D) mm,448(W)x131(H)x687(D) mm,3.06kg,2.79kg,4.16kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
