ProductName,Screen Size,Panel Type,Color Gamut (CIE1931),Color Depth (Number of Colors),Pixel pitch(mm),Response Time (GTG),Resolution,Brightness,Contrast Ratio,Viewing Angle (CR≥10),HDMI,DisplayPort,Headphone Out,Type,Input,Normal On (EPA Typ.),Normal On (factory out condition Typ.),Power Save/Sleep Mode (Max),DC Off (Max),Picture Mode,Ratio,DDC/CI,HDCP,Key Lock,Response Time Control,Adaptive Sync,Game mode,DAS Mode,Black Stabilizer,Crosshair,Flicker Safe,Automatic Standby,Six Axis Control,Smart Energy Saving,Reader Mode,Super Resolution+,Screen split2.0 (in OSC),My Display Preset (in OSC),On Screen Control (OSC),With Stand (WxHxD),Without Stand (WxHxD),Shipping Dimensions (WxHxD),With Stand Weight,Without Stand Weight,Shipping Weight,Tilt(Angle),Wall mount size (mm),Cable Holder,UL(cUL),"FCC-B, CE",EPA 7.0,Windows 10,Limited Warranty,UPC,images,Color Depth(Number of Colors),Pixel Pitch(mm),Aspect Ratio,Viewing Angle,PIP,SIX Axis Control,SMART Energy Saving,Dual Controller,Screen Split 2.0 (in OSC),VESA size (mm),Power Cord,TUV-type,CCC (for China),ErP,TCO 6.0,One Click Stand Set-up,Display Port,USB Type-C,USB Down-stream,Output,PBP,Game Mode,Automatic standby,Color Calibrated,OnScreen Control (OSC),Dual EDID (H/W),HDR (High Dynamic Range),Speaker,Audio Tuning,Height(mm),VESA® Size (mm),BSMI (for Taiwan),Surface Treatment,Plug & Play,Dynamic Action Sync,DICOM Mode,Base Detchable,S/W Install CD,Easy Setup Guide,Manual,Response Time(GTG),Refresh Rate,Brightness(Typ.),Contrast Ratio(Original),Viewing Angle(CR≥10),DisplayPort OverClock,USB Up-stream,Normal On (EPA),HDCP (version),G-SYNC,Overclock,4 screen split,On Screen Control,Tilt (angle),USB3.0 Upstream Cable,Windows,County of Origin,Color Gamut (CIE 1931),Pixel Pitch (mm),Response Time,USB-C,Smart Energy saving,Super+ Resolution,4 Screen-split,On-Screen Control,FreeSync,1ms Motion Blur Reduction,Detachable Base,EPA7.0,DisplayPort (ver1.2),USB 3.0,USB Up 3.0,USB 3.0 Quick Charge,Normal On (EPA 7.0),Tilt (Angle),Height (Range),Quick Charge,Audio Output,USB Type C to C,USB Type A to C,Screen Size Class (diagonal),Brightness (cd/m2),Thunderbolt 2.0,HDMI 2.0,USB Up-Stream (ver 3.0),USB Down-Stream (ver 3.0),HDMI (ver 2.0),Thunderbolt (ver 2.0),H/W Calibration (True Color Pro),PIP (Picture in Picture),PBP (Picture by Picture),H/W Calibration (True Color Finder),On-Screen Control (OSC),Country of Origin,Dual controller,TCO,Pixel Pitch,Contrast Ratio (DFC),Color weakness,Normal On,TUV-Type,Surface Treatment(Glare/non Glare),SUPER+Resolution,DP to DP,EPA,Super Energy Saving,Normal On (EPA 6.0),HDMI™,EPEAT Gold,Color Gamut,Factory Calibration,Screen Split,ENERGY STAR® Qualified,ThunderBolt,Speaker Type,USB,Normal On(Typ.),Power Save/Sleep Mode (Max.),DC Off (Max.),AMD FreeSync™ Technology,Ergonomic Stand,Swivel (Angle),Height (mm),Pivot,Black Equalizer,TCO7.0,CB,"CCC, BSMI",KC,VCCI,"ROHS, REACH",Intelligent Auto (Auto Adjustment),Super Resolution Plus,D-Sub,sRGB,HDCP (2.2),Factory Calibrated,Marker,ENERGY STAR®,EPEAT,Ultra HD (Europe),Windows 8,USB-C PD+DP Alt.Mode,Color Depth,Brightness (typical),Original Ratio,4 Screen Split,CD,ESG,Calibration Report (Paper),Color Gamut (CIE1976),Others,Super Resolution +,Black Level,DFC,Gamma Control,Color Temperature,R/G/B Color Control,OSD Lock,Auto Adjustment(D-sub Only),Display,Viewing Angle (Ver./Hor.),HDR,USB Type-C™,HDCP 2.2,Interface,Power,AMD FreeSync™,OnScreen Control,IPS,Color Space (DCI-P3 95%. CIE1976),Brightness (Typical),Color Space (sRGB over 99%),H/W Calibration,CINEMA Screen,Stand,Color weakness mode,USB3.0 Quick Charging,"OnScreen Control (Screen Split, My Dsiplay Presets, PIP)",Rich Bass,USB down port,Remote Control,VESA Compatible,MAXX Audio,"CCC, KC",HDMI (ver 1.4),VESA Mount,DVI-D,PIP/PBP,DC Off,Dual Hinge,Thunderbolt 3,USB Up,USB port,Camera,Mic,Ambient Light Sensor,Base Detachable,Thunderbolt3 Cable,Guides on Using Product Functions,VESA design cover,RCM,Thunderbolt3,China CEL,EPA 6.0,USB 2.0,Thunderbolt,USB3.0,EPEAT(USA),Super + Resolution,Color Wizard
29UM50-P,"29"" Flat",IPS,sRGB 99% (Typ.),16.7M colors,0.2628 mm x 0.2628 mm,5ms (High),2560 x 1080,"250cd/m2(Typ.), 200cd/m2(Min.)","1000:1 (Typ), Mega",178/178,Yes,Yes,Yes,Adapter,100~240V (50/60Hz),25W,27W,0.5W,0.3W,"Custom, Reader, Photo, Cinema, Color Weakness,  FPS Game 1, FPS Game 2, RTS Game,
               Custom (Game)
            ","Wide, Original, Cinema 1, Cinema 2",Yes,Yes (1.4),Yes,Yes,AMD FreeSync™,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"27.7"" x 16.3"" x 8.1""","27.7"" x 12.9"" x 2.5""","30.7"" x 16.2"" x 5.6""",11.9 lbs,10.6 lbs,16.5 lbs,-5~15 Degree,75 x 75 (VESA compatible),Yes,Yes,Yes,Yes,Yes,1 Year Parts & Labor,719192620056,"['/us/images/monitors/MD05975996/gallery/large_zoom01.jpg', '/us/images/monitors/MD05975996/gallery/large_zoom02.jpg', '/us/images/monitors/MD05975996/gallery/large_zoom03.jpg', '/us/images/monitors/MD05975996/gallery/large_zoom04.jpg', '/us/images/monitors/MD05975996/gallery/large_zoom05.jpg', '/us/images/monitors/MD05975996/gallery/large_zoom06.jpg', '/us/images/monitors/MD05975996/gallery/large_zoom07.jpg', '/us/images/monitors/MD05975996/gallery/large_zoom08.jpg', '/us/images/monitors/MD05975996/gallery/large_zoom09.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29WK500-P,"29"" Flat",IPS,sRGB 99% (Typ.),,,5ms (High),2560 x 1080,"250(Typ), 200(min) cd/m2","1000:1 (Typ), Mega",,Yes,,Yes,Adapter,100~240V (50/60Hz),20W,25W,0.5W,0.3W,"Custom,  Reader, Photo, Cinema,  Color Weakness, FPS1 Game/FPS2 Game, RTS Game, Custom
               (Game)
            ","Wide, Original, Cinema1, Cinema2",Yes,HDCP 1.4,Yes,Yes,AMD FreeSync™,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,"27.5"" x 16.2"" x 8.2""","27.5"" x 12.5"" x 3.0""","32.4"" x 16.3"" x 6.3""",11.5 lbs,10.4 lbs,16.5 lbs,-5~15 Degree,,,Yes,Yes,,Yes,1 Year Parts and Labor,719192617438,"['/us/images/monitors/md05921216/gallery/large_zoom01.jpg', '/us/images/monitors/md05921216/gallery/large_zoom02.jpg', '/us/images/monitors/md05921216/gallery/large_zoom03.jpg', '/us/images/monitors/md05921216/gallery/large_zoom04.jpg', '/us/images/monitors/md05921216/gallery/large_zoom05.jpg', '/us/images/monitors/md05921216/gallery/large_zoom06.jpg', '/us/images/monitors/md05921216/gallery/large_zoom07.jpg', '/us/images/monitors/md05921216/gallery/large_zoom08.jpg', '/us/images/monitors/md05921216/gallery/large_zoom09.jpg']","8bits (6bit+FRC), 16.7M",0.2628 mm x 0.2628 mm,21:9,178/178 (CR≥10),PIP mode in Screen Split,Yes,Yes,Yes,Yes,100 x 100 (VESA compatible),Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34WK500-P,"34"" Flat",IPS,sRGB 99% (Typ.),,,5ms (High),2560 x 1080,"250(Typ), 200(min) cd/m2","1000:1 (Typ), Mega",,Yes,,Yes,Adapter,100~240V (50/60Hz),26W,35W,0.5W,0.3W,"Custom,  Reader, Photo, Cinema,  Color Weakness, FPS1 Game/FPS2 Game, RTS Game, Custom
               (Game)
            ","Wide, Original, Cinema1, Cinema2",Yes,HDCP 1.4,Yes,Yes,AMD FreeSync™,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,"32.6"" x 18.1"" x 8.2""","32.6"" x 14.6"" x 1.7""","37.3"" x 18.8"" x 7.5""",15.2 lbs,13.5 lbs,21.2 lbs,-5~15 Degree,,,Yes,Yes,Yes,Yes,1 Year Parts and Labor,719192617414,"['/us/images/monitors/md05921236/gallery/large_zoom01.jpg', '/us/images/monitors/md05921236/gallery/large_zoom02.jpg', '/us/images/monitors/md05921236/gallery/large_zoom03.jpg', '/us/images/monitors/md05921236/gallery/large_zoom04.jpg', '/us/images/monitors/md05921236/gallery/large_zoom05.jpg', '/us/images/monitors/md05921236/gallery/large_zoom06.jpg', '/us/images/monitors/md05921236/gallery/large_zoom07.jpg', '/us/images/monitors/md05921236/gallery/large_zoom08.jpg']","8bits (6bit+FRC), 16.7M",0.312 mm x 0.310 mm,21:9,178/178 (CR≥10),PIP mode in Screen Split,Yes,Yes,Yes,Yes,100 x 100 (VESA compatible),Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38WK95C-W,"38""",IPS,sRGB 99%,,,5ms (High),3840 x 1600,"300(Typ), 240(min) cd/m2",1000:1 (Typ),,Yes,Yes,Yes,Adapter,"100~240V, 50/60Hz",,70W,1.2W,0.3W,"(Non HDR Contents) --&gt; Custom, HDR Effect, Reader,Photo, Cinema, Dark Room1/2,
               Color Weakness, FPS1 Game/FPS2 Game, RTS Game, Custom (Game),  (HDR Contents) --&gt;
               HDR Vivid, HDR Cinema , HDR Game, HDR Standard
            ","Wide, Original, Cinema 1, Cinema 2, 1:1",Yes,HDCP2.2 / HDCP1.4,Yes,Yes,AMD FreeSync™,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,"35.3"" x 19.5"" (Down) x 9.3"" 35.3"" x 23.5"" (Up) x 9.3""","35.3"" x 15.5"" x 3.6""","41.7"" x 21.5"" x 8.4""",19.8 lbs,16.9 lbs,29.1 lbs,-5~15 Degree,,,Yes,Yes,,Yes,1 Year Parts and Labor,719192617391,"['/us/images/monitors/md05919457/gallery/large_zoom01.jpg', '/us/images/monitors/md05919457/gallery/large_zoom02.jpg', '/us/images/monitors/md05919457/gallery/large_zoom03.jpg', '/us/images/monitors/md05919457/gallery/large_zoom04.jpg', '/us/images/monitors/md05919457/gallery/large_zoom05.jpg', '/us/images/monitors/md05919457/gallery/large_zoom06.jpg', '/us/images/monitors/md05919457/gallery/large_zoom07.jpg', '/us/images/monitors/md05919457/gallery/large_zoom08.jpg', '/us/images/monitors/md05919457/gallery/large_zoom09.jpg', '/us/images/monitors/md05919457/gallery/large_zoom10.jpg', '/us/images/monitors/md05919457/gallery/large_zoom11.jpg', '/us/images/monitors/md05919457/gallery/large_zoom12.jpg', '/us/images/monitors/md05919457/gallery/large_zoom13.jpg']","10bits (8bit+FRC), 1.07B",0.229 mm x 0.229 mm,21:9,178/178 (CR≥10),In Screen Split,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes (USB3.0 2ea),60W,Yes,Yes,Yes,Yes,Yes,Yes,HDR 10,Yes 10W x 2 (with Bluetooth),Rich Bass,100mm,100x100 (VESA compatible),Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34WK650-W,"34""",IPS,sRGB 99% (Typ),,,5ms (High),2560 x 1080,"300(Typ), 240(min) cd/m2",1000:1(Typ),,Yes,Yes,Yes,Adapter,100 ~ 240V,28W,42W,0.5W,0.3W,"(Non HDR Contents) --&gt; Custom, HDR Effect, Reader,Photo, Cinema,  Color Weakness,
               FPS1 Game/FPS2 Game, RTS Game, Custom (Game),  (HDR Contents) --&gt; HDR Vivid, HDR
               Cinema , HDR Game, HDR Standard
            ","Wide, Original, Cinema 1, Cinema 2",Yes,HDCP2.2 / HDCP1.4,Yes,Yes,AMD FreeSync™,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,"32.5"" x 22.5"" (Up) / 18.1""(Down) x 9.1""","32.5"" x 14.6"" x 9.1""","37.0"" x 19.3 x 9.5""",16.76 lbs,13.0 lbs,24.70 lbs,-5~15 Degree,,Yes,Yes,Yes,Yes,Yes,1 Year Parts and Labor,719192617407,"['/us/images/monitors/md05911437/gallery/large_zoom01.jpg', '/us/images/monitors/md05911437/gallery/large_zoom02.jpg', '/us/images/monitors/md05911437/gallery/large_zoom03.jpg', '/us/images/monitors/md05911437/gallery/large_zoom04.jpg', '/us/images/monitors/md05911437/gallery/large_zoom05.jpg', '/us/images/monitors/md05911437/gallery/large_zoom06.jpg', '/us/images/monitors/md05911437/gallery/large_zoom07.jpg', '/us/images/monitors/md05911437/gallery/large_zoom08.jpg', '/us/images/monitors/md05911437/gallery/large_zoom09.jpg', '/us/images/monitors/md05911437/gallery/large_zoom10.jpg']","8bits( 6bit+FRC), 16.7M",0.312 mm x 0.310 mm,21:9,178/178 (CR≥10),PIP mode in Screen Split,Yes,Yes,Yes,,100 x 100 (VESA compatible),Yes,Yes,Yes,Yes,,Yes,,,,,No,,,Yes,,,HDR 10,Yes 5W x 2,MAXXAudio®,110mm,,,Anti-Glare 3H,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34UC89G-B,"34"" Curved",IPS,sRGB over 99%,,,,2560x1080,,,,Yes (ver1.4),Yes (ver1.2),,Adapter,"100-240Vac, 50/60Hz",,,,,"(Game Mode) Gamer 1, Gamer 2, FPS1, FPS2, RTS, Reader",,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,"32.3"" x 17.5"" (down) - 22.3"" (up) x 11.0""","32.3"" x 14.4"" x 3.4""","38.9"" x 20.7"" x 8.3""",18.3 lbs,13.4 lbs,25.3 lbs,,100 x 100,,Yes,Yes,,,1 Year Part and Labor,719192614819,"['/us/images/monitors/md05836790/gallery/large_zoom01.jpg', '/us/images/monitors/md05836790/gallery/large_zoom02.jpg', '/us/images/monitors/md05836790/gallery/large_zoom03.jpg', '/us/images/monitors/md05836790/gallery/large_zoom04.jpg', '/us/images/monitors/md05836790/gallery/large_zoom05.jpg', '/us/images/monitors/md05836790/gallery/large_zoom06.jpg', '/us/images/monitors/md05836790/gallery/large_zoom07.jpg']","8bits, 16.7M",0.312 x 0.310,21:9,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes (2),,,,,,,,,,,,,Yes,"Anti glare ,3H",,,,,,,,5ms (High),up to 166Hz w/ OverClock,300cd/m2,1000:1 (Typ.),178 /178   (C R ≥ 10),2560 x 1080 @ 166Hz,Yes (1),60W,Yes,Yes,"*166Hz * Overclocking function may vary depending on graphic cards or game contents.
               LG Electronics is not responsible for the performance of specified feature or any
               adverse effect caused by it once activated by users
            ",Yes,Yes,-5° (front) ~ 20° (rear),Yes,Yes (win 10),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34UM69G-B,"34""",IPS,,"6bit+A-FRC, 16.7M colors",,,2560x1080,250cd/m2,Mega,,Yes (ver1.4),Yes (ver1.2),,Adapter,"100~240V, 50/60Hz",,,,,"Custom, Reader, Photo, Cinema, Color Weakness, FPS Game 1, FPS Game 2, RTS Game, Custom
               (Game)
            ",,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,"32.6"" x 18.3"" x 11.0""","32.6"" x 14.6"" x 1.6""","38.7"" x 19.2"" x 8.3""",18.7 lbs,14.1 lbs,24.9 lbs,,100 x 100,,Yes,Yes,,,1 Year Parts and Labor,719192609143,"['/us/images/monitors/md05806069/gallery/large_zoom01.jpg', '/us/images/monitors/md05806069/gallery/large_zoom02.jpg', '/us/images/monitors/md05806069/gallery/large_zoom03.jpg', '/us/images/monitors/md05806069/gallery/large_zoom04.jpg', '/us/images/monitors/md05806069/gallery/large_zoom05.jpg', '/us/images/monitors/md05806069/gallery/large_zoom06.jpg', '/us/images/monitors/md05806069/gallery/large_zoom07.jpg', '/us/images/monitors/md05806069/gallery/large_zoom08.jpg']",,,21:9,178/178,,Yes,,,,,Yes,Yes,,Yes,,,Yes(1.2),,,,,,,Yes,,,,,,120mm,,,Anti-Glare 3H,Yes,,,,,,,,75Hz,,,,,,30.6W,,,,,,-5~20 Degree,,Yes (win10),,sRBG over 99%,0.312 x 0.310,"5ms GTG, 1ms MBR",Yes (DP Alt. Mode),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34UC79G-B,"34"" Curved 144Hz",IPS,,"8bits, 16.7M",,,2560 x 1080,250 cd/m2,Mega,,Yes,,,Adapter,"100~240V, 50/60Hz",,,,,"Custom, Reader, Photo, Cinema, Dark Room 1, Dark Room 2, Color Weakness, FPS Game
               1, FPS Game 2, RTS Game, Custom (Game)
            ","Wide, Original, Cinema 1, Cinema 2, 1:1",Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,Yes (included in Picture Mode),,,Yes,,"32.7"" x 17.7"" x 11.0"" (down) – 15.7"" (up)","32.7"" x 14.6"" x 3.0""","38.9"" x 8.3"" x 20.6""",18.9 lbs,14.1 lbs,26 lbs,,,Yes,Yes,Yes,,,1 Year Parts & Labor,719192606715,"['/us/images/monitors/md05771107/gallery/large_zoom01.jpg', '/us/images/monitors/md05771107/gallery/large_zoom02.jpg', '/us/images/monitors/md05771107/gallery/large_zoom03.jpg', '/us/images/monitors/md05771107/gallery/large_zoom04.jpg', '/us/images/monitors/md05771107/gallery/large_zoom05.jpg', '/us/images/monitors/md05771107/gallery/large_zoom06.jpg', '/us/images/monitors/md05771107/gallery/large_zoom09.jpg', '/us/images/monitors/md05771107/gallery/large_zoom10.jpg', '/us/images/monitors/md05771107/gallery/large_zoom14.jpg', '/us/images/monitors/md05771107/gallery/large_zoom07.jpg']",,,21:9,178 / 178,In Screen Split,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,,Yes,Yes,Yes,,,,,100 x 100,Yes,,,,,,,,,,144Hz,,,,,,,,,,,,,,Yes,,NTSC 72%,0.312 mm x 0.312 mm,14ms / 5ms GTG,,,Yes,,,Yes (DP 50~144Hz),Yes,,,Yes,2 ea,1,USB Port 1,50W (EPA 7.0),-5~20 Degree,120mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38UC99-W,"37.5"" Curved",IPS,,"10bits (8bit+FRC), 1.07B",,,3840 x 1600,300 cd/m2,Mega,,Yes,Yes,,Adapter,"100-240Vac, 50/60Hz",,,,,"Custom, Reader, Photo, Cinema, Dark Room 1, Dark Room 2, Color Weakness, FPS Game
               1, FPS Game 2, RTS Game, Custom (Game)
            ","Wide, Original, Cinema 1, Cinema 2, 1:1",Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,Yes (included in Picture Mode),,,Yes,,35.3 x 18.4 (down) -23.1 (up) x 9.1,"35.3"" x 15.5"" x 3.6""","41.5"" x 21.2"" x 8.1""",20.5 lbs,16.9 lbs,29.1 lbs,,,Yes,Yes,Yes,,,1 Year Parts & Labor,719192606746,"['/us/images/monitors/md05769407/gallery/large_zoom01.jpg', '/us/images/monitors/md05769407/gallery/large_zoom02.jpg', '/us/images/monitors/md05769407/gallery/large_zoom03.jpg', '/us/images/monitors/md05769407/gallery/large_zoom05.jpg', '/us/images/monitors/md05769407/gallery/large_zoom06.jpg', '/us/images/monitors/md05769407/gallery/large_zoom07.jpg', '/us/images/monitors/md05769407/gallery/large_zoom09.jpg', '/us/images/monitors/md05769407/gallery/large_zoom10.jpg', '/us/images/monitors/md05769407/gallery/large_zoom13.jpg', '/us/images/monitors/md05769407/gallery/large_zoom08.jpg']",,,21:9,178 / 178,In Screen Split,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,100 x 100,Yes,,,,,,,,,,60 Hz / 75Hz with Display Port with FreeSync,,,,,,,,,,,,,,Yes,,sRGB over 99%,0.229 mm x 0.229 mm,14ms / 5ms GTG,,,Yes,,,Yes (DP 52~75Hz),Yes,,,,2 ea,,1,120W (EPA 7.0),-5~15 Degree,110mm,Yes,Speaker 10W*2 with Bluetooth / Rich Bass,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34UC98-W,,IPS,sRGB over 99%,10bit (8bit + A-FRC),,,3440x1440,,5M:1,,Yes,Yes,,Adapter,100~240V,,,,,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes (included in Picture Mode),,,Yes,,"(Down) 32.2"" x 17.8"" x 9.1"" / (Up) 32.2"" x 22.1"" x 9.1""","32.2"" x 14.2"" x 3.5""","38.5"" x 19.9"" x 8.2""",17.2 lbs,,24.7 lbs,,,Yes,Yes,Yes,,,1 Year Parts & Labor,719192199378,"['/us/images/monitors/md05231041/gallery/large_zoom01.jpg', '/us/images/monitors/md05231041/gallery/large_zoom02.jpg', '/us/images/monitors/md05231041/gallery/large_zoom03.jpg', '/us/images/monitors/md05231041/gallery/large_zoom04.jpg', '/us/images/monitors/md05231041/gallery/large_zoom05.jpg', '/us/images/monitors/md05231041/gallery/large_zoom06.jpg', '/us/images/monitors/md05231041/gallery/large_zoom07.jpg', '/us/images/monitors/md05231041/gallery/large_zoom08.jpg', '/us/images/monitors/md05231041/gallery/large_zoom09.jpg']",,,21:9,178 / 178,In Screen Split,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,100 x 100,Yes,"Hard Coating (3H), anti-glare",,,,,,,,,60 Hz,,,,,,,,,,,,,,Yes,,,0.2325 mm x 0.2325 mm,5ms GTG,,,,,,Yes (DP 55~75Hz),,,,,1,1,1,,-5~15 Degree,110mm,Yes,MaxxAudio 7Wx2,,,"34""",300 cd/m2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
