系列,货号,容量,适用平台,传输类型,Features,速度,SKU,包装,图片链接,产品品牌,产品型号,产品编号,适用对象,内存容量,插脚数目,内存频率,内存电压,延迟描述
铂胜智能 Ballistix铂胜智能台式机游戏内存条黄马甲DDR3 1600 8G,BLT8G3D1608ET3LX0,8GB,DIMM,DDR3,8GB Low Profile Desktop Memory Module,1600,M1077-0001-39,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt8g3d1608et3lx0_front_chip_021_0.jpg?itok=miEanrSe,,,,,,,,,
铂胜智能 Ballistix铂胜智能台式机游戏内存条DDR3 1600 8G,BLT8G3D1608DT2TXRG,8GB,DIMM,DDR3,8GB 240-pin UDIMM DDR3 1600 MT/s CL8 @1.5V,1600,M1077-0001-41,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt8g3d1608dt2txrg_front_chip_027.jpg?itok=-nzN0kBg,,,,,,,,,
铂胜智能 Ballistix铂胜智能系列台式内存条DDR3 1600 8G,BLT8G3D1608DT2TXOB,8GB,UDIMM,DDR3,Crucial Ballistix Tactical Tracer 8GB DDR3-1600 UDIMM,1600,M1077-0016-19,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt8g3d1608dt2tx0b_chip_front.jpg?itok=IJSXzx1j,,,,,,,,,
铂胜智能 Ballistix铂胜智能系列台式机内存条DDR3 1600 4G,BLT4G3D1608DT2TXRG,4GB,DIMM,DDR3,4GB 240-pin SDRAM DDR3 1600 (with Red/Green Light),1600,M1077-0001-42,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt4g3d1608dt2txrg_front_chip_032.jpg?itok=3nPsfQas,,,,,,,,,
铂胜智能 Ballistix铂胜智能台式电脑内存灯条DDR38G两条装1600,BLT2CP8G3D1608DT2TXRG,8GB*2,UDIMM,DDR3,"Ballistix Tactical Tracer UDIMM 240pin Red/Green LEDs 8GB DDR3 1600, CASEPACK",1600,M1077-0001-50,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt2cp8g3d1608dt2txrg_frt_chp_040.jpg?itok=PhY0LQ9s,,,,,,,,,
铂胜智能 Ballistix铂胜台式内存灯条DDR3 1600 4G两条装,BLT2CP4G3D1608DT2TXRG,4GB*2,DIMM,DDR3,"Ballistix Tactical Tracer 4GB 240-Pin DDR3 DDR3 1600 Desktop Memory (with Red/Green Light), CASEPACK",1600,M1077-0001-51,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt2cp4g3d1608dt2txrg_frt_chp_045.jpg?itok=IA5pxKF4,,,,,,,,,
铂胜智能 Ballistix铂胜台式游戏内存条黄马甲DDR3 1600 8G两条装,BLT2C8G3D1608ET3LX0,8GB*2,DIMM,DDR3,"Ballistix Tactical Low Profile 8GB Desktop Memory Module, CASEPACK",1600,M1077-0001-48,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt2c8g3d1608et3lx0_back_chip_054.jpg?itok=0pG-Pl5d,,,,,,,,,
铂胜智能 铂胜台式机游戏内存条黄马甲DDR3 1600 4G两条装,BLT2C4G3D1608ET3LX0,4GB*2,DIMM,DDR3,"Ballistix Tactical Low Profile 4GB Desktop Memory Module, CASEPACK",1600,M1077-0001-53,双条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/blt2c4g3d1608et3lx0_front_chip_050.jpg?itok=F8FaX5tU,,,,,,,,,
铂胜运动 8G DDR4 2400台式机内存条游戏超频,BLS8G4D240FSB,8GB,UDIMM,DDR4,Crucial Ballistix Sport LT 8GB DDR4-2400 UDIMM,2400,M1077-0016-09,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls8g4d240fsb_front_chip.jpg?itok=FnPG1Y2I,,,,,,,,,
铂胜运动 8G DDR4 2400台式机电脑8g内存条游戏超频,BLS8G4D240FSA,8GB,UDIMM,DDR4,Crucial Ballistix Sport 8GB DDR4-2400 UDIMM,2400,M1077-0016-07,单条,https://www.crucial.cn/sites/default/files/styles/view_image_105_70_/public/images/memory/bls8g4d240fsa_front_chip_0.jpg?itok=ayPPyB7N,,,,,,,,,
