产品名称,产品ID,芯片系列,产品系列,图形芯片,核心工艺,CUDA核心,基础频率,一键OC核心频率,显存频率,显存容量,显存类型,显存位宽,总线标准,3D API,显示接口,外接供电,TDP功耗,图片列表,NVIDIA SLI,数字最大分辨率,多显示器,呼吸灯,风扇调速,风扇智能启停,VGA最大分辨率,水冷头
iGame GeForce GTX1080Ti Vulcan X,1513,GeForce® GTX 1080Ti,iGame系列,GeForce GTX 1080Ti,16nm,3584,Base：1480MHZ;Boost:1582MHZ,Base：1569MHZ;Boost:1683MHz,11Gbps,11GB,GDDR5X,352B,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,8 + 8Pin,250w,"['https://www.colorful.cn/uploads/AttachFile/201712121713437110.jpg', 'https://www.colorful.cn/uploads/AttachFile/201712121713490151.jpg', 'https://www.colorful.cn/uploads/AttachFile/201712121713564095.jpg', 'https://www.colorful.cn/uploads/AttachFile/201801171039097112.jpg']",,,,,,,,
iGame GeForce GTX1080Ti RNG Edition,1511,GeForce® GTX 1080Ti,iGame系列,GeForce GTX 1080Ti, 16nm ,3584,Base：1480MHz；Boost:1582MHz,Base：1620MHz；Boost:1733MHz,11Gbps,11GB,GDDR5X,352Bit,PCI-E X16(3.0)," Direct X 12.1, OpenGL 4.5 ",DVI+2*HDMI+2*DP,8 + 8Pin,250W,"['https://www.colorful.cn/uploads/photo/2017/12/201712121514128776.jpg', 'https://www.colorful.cn/uploads/photo/2017/12/201712121514172613.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712121514254201.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712121514303497.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712121514346865.JPG']",Y,7680x4320,4,Y,Y,Y,,
七彩虹 GeForce GTX1080Ti CH,1506,GeForce® GTX 1080Ti,七彩虹系列,GeForce GTX 1080Ti,16nm, 3584 ,Base：1480MHz；Boost:1582MHz,,11Gbps,11G,GDDR5X,352Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",HDMI+3DP,8+6pin,250W,"['https://www.colorful.cn/uploads/AttachFile/201711211456055040.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211456105116.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211456172196.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211456300740.JPG']",Y,7680x4320@60Hz,,,,,不支持,
iGame GeForce GTX1080Ti Vulcan AD LE,1470,GeForce® GTX 1080Ti,iGame系列,GeForce GTX 1080Ti,16nm,3584,Base:1480MHz;Boost:1582MHz,,11000MHz,11G,GDDR5X,352Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3*DP,8+8Pin,250W,"['https://www.colorful.cn/uploads/AttachFile/201709121732256404.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121732259124.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121732262304.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121732268685.JPG']",Yes,7680x4320,4,Y,Y,Y,,Y
iGame GeForce GTX1080Ti Kudan,1468,GeForce® GTX 1080Ti,iGame系列,GeForce GTX 1080Ti,16nm,3584,Base：1480MHZ;Boost:1582MHZ,Base:1657MHz;Boost:1784MHz,11000MHz,11G,GDDR5X,352Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,8+8Pin,250W,"['https://www.colorful.cn/uploads/AttachFile/201709121718211241.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121718217141.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121718226822.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121718233602.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121718238852.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709121718244513.JPG']",Yes,7680x4320,4,Y,Y,Y,,Y
iGame GeForce GTX1080Ti Neptune W,1463,GeForce® GTX 1080Ti,iGame系列,GeForce GTX 1080Ti,16nm,3584,Base：1480MHZ;Boost:1582MHZ,"Base:1594MHz;Boost:1708MHz,",11000MHz,11G,GDDR5X,352Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,8+8Pin,250W,"['https://www.colorful.cn/uploads/AttachFile/201709081526597148.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709081526599956.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709081527004480.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709081527006664.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709081527010876.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709081527013060.JPG']",Yes,7680x4320,4,Y,Y,Y,,Y
iGame GeForce GTX1080Ti Vulcan X LE,1459,GeForce® GTX 1080Ti,iGame系列,GeForce GTX 1080Ti,16nm,3584,Base:1480MHz;Boost:1582MHz,,11000MHz,11G,GDDR5X,352Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,8+8Pin,250W,"['https://www.colorful.cn/uploads/AttachFile/thumb201709081000399956.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201709081000404012.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201709081000408380.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201709081000413996.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201709081000418988.JPG']",Yes,7680x4320,4,Y,Y,Y,,Y
iGame GeForce GTX1080Ti Vulcan X OC,442,GeForce® GTX 1080Ti,iGame系列,GeForce GTX 1080Ti,16nm,3584,Base：1480MHZ;Boost:1582MHZ,Base：1620MHZ;Boost:1733MHz,11Gbps,11G,GDDR5X,352bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+2*HDMI+2*DP,8+8pin,250w,"['https://www.colorful.cn/Resource/2017/05/201705111340166237.JPG', 'https://www.colorful.cn/Resource/2017/05/201705111340172009.JPG', 'https://www.colorful.cn/Resource/2017/05/201705111340173257.JPG', 'https://www.colorful.cn/Resource/2017/05/201705111340180433.JPG', 'https://www.colorful.cn/Resource/2017/05/201705111340186049.JPG']",,,,,,,,
iGame GeForce GTX1080Ti Vulcan AD,441,GeForce® GTX 1080Ti,iGame系列,GeForce GTX 1080Ti,16nm,3584,Base：1480MHZ;Boost:1582MHZ,Base:1594MHz;Boost:1708MHz,11000MHz,11GB,GDDR5X,352Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3*DP,8+8 Pin,250W,"['https://www.colorful.cn/Resource/2017/04/201704251749338188.JPG', 'https://www.colorful.cn/Resource/2017/04/201704251749348484.JPG', 'https://www.colorful.cn/Resource/2017/04/201704251749355972.JPG', 'https://www.colorful.cn/Resource/2017/04/201704251749360028.JPG', 'https://www.colorful.cn/Resource/2017/04/201704251749333820.JPG']",Yes,7680x4320,4,顶部&正面RGB,Yes,Yes,不支持,Yes
七彩虹 GeForce GTX1080Ti Founders Edition,440,GeForce® GTX 1080Ti,七彩虹系列,GeForce® GTX 1080Ti,16nm,3584,Base：1480MHz；Boost：1582MHz,,11Gbps,11G,GDDR5X,352bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",HDMI+3DP,8+6pin,250W,"['https://www.colorful.cn/Resource/2017/03/201703101841059076.JPG', 'https://www.colorful.cn/Resource/2017/03/201703101841064692.JPG', 'https://www.colorful.cn/Resource/2017/03/201703101841084348.JPG', 'https://www.colorful.cn/Resource/2017/03/201703101841090588.JPG', 'https://www.colorful.cn/Resource/2017/03/201703101841098232.JPG', 'https://www.colorful.cn/Resource/2017/03/201703101841105096.JPG', 'https://www.colorful.cn/Resource/2017/03/201703101841055644.JPG']",是,7680x4320@60Hz,4,,,,不支持,BY
